BranchID,BranchName,Address,City,State,Country,ManagerID,ContactNumber
1,Talmest,6 Carioca Center,Hwange,,Morocco,170,190-579-5691
2,Douba,765 Eliot Plaza,Miskindzha,,China,179,889-161-7695
3,Mirzāpur,0468 Village Green Drive,Chendian,,Bangladesh,79,640-262-0015
4,Presidente Bernardes,7 Debra Point,Chełm,,Brazil,84,968-117-4521
5,Tambaú,81 Summit Way,Fatuulan,,Brazil,112,305-603-4309
6,Wichita,157 Carey Drive,Shuanglong,Kansas,United States,193,316-803-3655
7,Piedras,15993 John Wall Street,Altay,,Colombia,39,769-804-2917
8,Daliyuan,56167 Schlimgen Point,Suwalan,,China,149,394-269-8375
9,Czerniejewo,22000 Waywood Park,Jūrmala,,Poland,172,563-212-0608
10,Shamkhor,9 8th Street,Borisovka,,Azerbaijan,130,405-139-2541
11,Farinheiras,82 4th Trail,Gaojingzhuang,Setúbal,Portugal,129,940-417-5872
12,Stockholm,536 Porter Parkway,Malamig,Stockholm,Sweden,130,396-636-5255
13,Niandou,5 Hoard Place,Koksovyy,,China,64,391-862-9175
14,Tanumshede,489 Scofield Circle,Cipolletti,Västra Götaland,Sweden,117,145-805-1477
15,Mayrtup,371 Dunning Avenue,Kadoma,,Russia,176,738-489-2159
16,Gubukjero Timuk,23 7th Road,Bolondrón,,Indonesia,165,391-730-9396
17,Chengshan,616 Eastwood Place,Coro,,China,28,580-210-8292
18,Montecillo,0 Jenna Pass,Guadalupe,,Philippines,158,440-709-5717
19,Āsasa,417 Crownhardt Crossing,Nevers,,Ethiopia,136,568-484-0552
20,Jiangwakou,834 Emmet Lane,Féres,,China,148,189-424-4224
