IncidentID,AffectedSystem,ReportedDate,ResolutionStatus
1,Server,11/27/2020,Escalated
2,Server,9/13/2025,Pending
3,Database,7/13/2024,Escalated
4,Network,8/7/2025,Resolved
5,Network,5/25/2023,Pending
6,Server,1/18/2022,Pending
7,Network,7/9/2025,Escalated
8,Server,7/6/2024,Pending
9,WebApp,3/24/2021,Resolved
10,Network,8/19/2023,Pending
11,WebApp,4/19/2025,Pending
12,Network,11/17/2023,Resolved
13,Server,8/10/2023,Escalated
14,WebApp,5/26/2022,Escalated
15,WebApp,3/13/2025,Resolved
16,Server,9/3/2025,Escalated
17,Database,7/25/2022,Escalated
18,Network,1/27/2020,Pending
19,Database,11/22/2024,Escalated
20,WebApp,5/15/2021,Escalated
21,WebApp,7/24/2025,Pending
22,Server,2/24/2023,Escalated
23,Database,7/11/2022,Pending
24,Network,11/4/2023,Escalated
25,WebApp,11/29/2021,Resolved
26,Network,11/28/2025,Escalated
27,Network,7/15/2024,Pending
28,Server,5/25/2023,Pending
29,Network,7/11/2021,Resolved
30,Database,4/28/2021,Resolved
31,Server,1/5/2024,Resolved
32,Server,9/22/2020,Resolved
33,Database,2/7/2021,Resolved
34,Database,7/1/2025,Escalated
35,Database,8/23/2022,Resolved
36,Database,11/21/2025,Resolved
37,Network,4/4/2022,Escalated
38,WebApp,6/16/2025,Escalated
39,Server,8/22/2020,Resolved
40,WebApp,7/4/2022,Pending
41,Network,3/22/2022,Pending
42,Server,8/2/2025,Pending
43,Database,8/1/2020,Escalated
44,WebApp,10/26/2024,Escalated
45,Server,3/10/2024,Escalated
46,Database,9/18/2024,Resolved
47,Database,1/28/2025,Escalated
48,Network,8/29/2021,Pending
49,Database,5/30/2024,Resolved
50,Server,7/29/2025,Pending
